tail,AZ_NV_g,CA_AZ_g,CA_FL_g,CA_NV_g,FL_AZ_g,FL_NV_g,AZ_NV_m,CA_AZ_m,CA_FL_m,CA_NV_m,FL_AZ_m,FL_NV_m
-2,0.1292817,0.201037,0.1084043,0.0829209,0.1354305,0.0937699,0.2931528,0.2208837,0.108748,0.1854949,0.2385625,0.3556206
-1.9,0.1446605,0.2187379,0.1227064,0.0955549,0.1510853,0.1071684,0.3114835,0.2383005,0.118262,0.1958236,0.2565152,0.3765582
-1.8,0.1612814,0.2373947,0.1383267,0.1095819,0.1679584,0.1219315,0.3305846,0.2567544,0.1287505,0.2070384,0.2754004,0.398043
-1.7,0.1791635,0.2569936,0.1553009,0.125065,0.1860647,0.1381096,0.3504212,0.2762283,0.1402951,0.2191886,0.2951947,0.4200183
-1.6,0.1983146,0.2775124,0.1736532,0.1420554,0.2054083,0.1557413,0.3709526,0.296696,0.1529787,0.2323227,0.3158676,0.4424223
-1.5,0.2187307,0.298921,0.1933946,0.1605909,0.2259815,0.1748514,0.3921322,0.3181219,0.1668844,0.2464882,0.3373809,0.4651891
-1.4,0.2403948,0.3211808,0.2145216,0.1806927,0.2477641,0.1954494,0.4139079,0.3404613,0.1820936,0.2617302,0.3596892,0.4882489
-1.3,0.2632762,0.3442445,0.2370151,0.2023645,0.2707227,0.2175279,0.4362228,0.36366,0.1986835,0.2780907,0.3827398,0.5115288
-1.2,0.2873294,0.3680563,0.2608394,0.2255899,0.2948099,0.2410609,0.4590153,0.3876553,0.2167244,0.2956067,0.4064731,0.5349535
-1.1,0.3124946,0.3925515,0.2859413,0.2503316,0.3199646,0.2660029,0.4822192,0.4123751,0.2362767,0.3143089,0.4308225,0.5584458
-1,0.3386967,0.4176572,0.3122498,0.2765297,0.346111,0.2922883,0.5057651,0.4377395,0.2573874,0.3342195,0.455715,0.5819269
-0.9,0.3658459,0.4432921,0.3396761,0.3041019,0.3731596,0.319831,0.5295795,0.4636602,0.2800856,0.3553499,0.4810711,0.6053182
-0.8,0.3938381,0.4693674,0.3681137,0.332943,0.4010071,0.3485246,0.5535862,0.4900415,0.3043792,0.3776982,0.5068049,0.6285406
-0.7,0.4225554,0.4957869,0.3974394,0.3629254,0.4295374,0.3782428,0.5777059,0.5167805,0.3302501,0.4012466,0.5328249,0.6515158
-0.6,0.451867,0.5224478,0.4275138,0.3939001,0.4586225,0.4088405,0.6018565,0.5437675,0.3576512,0.4259581,0.5590331,0.6741669
-0.5,0.4816311,0.549242,0.4581835,0.4256987,0.4881235,0.4401559,0.6259535,0.570887,0.3865021,0.4517743,0.5853262,0.6964183
-0.4,0.5116959,0.5760561,0.4892824,0.4581354,0.5178927,0.4720117,0.6499096,0.5980176,0.4166876,0.4786124,0.6115953,0.7181967
-0.3,0.5419016,0.6027734,0.5206342,0.4910095,0.5477748,0.5042183,0.6736352,0.6250331,0.4480556,0.5063637,0.6377264,0.7394312
-0.2,0.5720829,0.6292747,0.5520549,0.5241093,0.5776092,0.5365767,0.6970383,0.6518036,0.4804176,0.5348921,0.6636011,0.7600536
-0.1,0.6020707,0.6554396,0.5833555,0.557215,0.6072322,0.5688811,0.720025,0.6781961,0.5135508,0.564034,0.6890972,0.7799988
0,0.6316952,0.6811482,0.6143451,0.5901033,0.6364793,0.6009233,0.7424998,0.7040763,0.5472008,0.5935995,0.7140903,0.7992055
0.1,0.6020707,0.6554396,0.5833555,0.557215,0.6072322,0.5688811,0.7235785,0.6824536,0.5085746,0.5581816,0.6931818,0.7860453
0.2,0.5720829,0.6292747,0.5520549,0.5241093,0.5776092,0.5365767,0.7047248,0.6609936,0.4698291,0.52244,0.6724234,0.7730781
0.3,0.5419016,0.6027734,0.5206342,0.4910095,0.5477748,0.5042183,0.6860939,0.6398776,0.4313518,0.4867228,0.6519919,0.7603993
